,PRICE,SOLD_MONTH_Number,SOLD_DATE_DAY,SOLD_YEAR,PROPERTY_TYPE,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,LOCATION
134166,930000,10,12,2021,1,3.0,3.0,1860.0,5830.0,1956.0,19
134167,2120000,8,2,2021,1,3.0,2.5,2750.0,5400.0,2005.0,19
134168,845000,10,28,2022,3,2.0,2.0,1332.0,1101.0,2022.0,19
134169,950000,3,27,2020,3,3.0,2.5,1392.0,1058.0,2020.0,19
134170,2100000,2,16,2021,1,4.0,3.5,3440.0,5000.0,2006.0,19
134171,880000,11,9,2018,1,3.0,3.0,2440.0,7000.0,1941.0,19
134172,1385000,8,18,2020,1,4.0,3.0,3300.0,5350.0,1952.0,19
134174,2245000,4,12,2018,1,6.0,4.5,4670.0,8297.0,2008.0,19
134175,870000,5,15,2019,1,4.0,2.0,2060.0,6000.0,1949.0,19
134176,1175000,8,7,2018,1,3.0,3.5,1941.0,1550.0,2018.0,19
134177,1108000,11,15,2018,1,4.0,4.0,2931.0,6000.0,1944.0,19
134178,910709,4,18,2018,1,3.0,1.5,2160.0,6000.0,1943.0,19
134179,820000,7,9,2018,1,2.0,2.0,1500.0,4800.0,1947.0,19
134180,1045000,11,21,2017,1,4.0,3.0,3480.0,5911.0,1956.0,19
134181,765777,2,27,2018,1,3.0,2.0,1800.0,6000.0,1921.0,19
134182,960000,11,30,2017,1,3.0,3.0,2230.0,5500.0,1957.0,19
134183,640000,5,17,2019,1,2.0,1.0,990.0,7000.0,1955.0,19
134184,740000,7,25,2018,1,3.0,3.0,1760.0,1800.0,1983.0,19
134185,662475,1,31,2019,1,3.0,1.0,1600.0,5160.0,1951.0,19
134186,845000,2,20,2019,1,3.0,2.0,1910.0,7200.0,1946.0,19
134187,1106000,7,10,2020,1,4.0,2.0,2530.0,6000.0,1949.0,19
134188,2125000,7,24,2020,1,4.0,3.5,3669.0,8658.0,2020.0,19
134189,875000,6,13,2019,1,3.0,2.0,2160.0,5102.0,1950.0,19
134190,2125000,5,4,2018,1,5.0,6.5,5070.0,7657.0,2008.0,19
134191,1525000,12,4,2018,1,4.0,3.5,2400.0,5921.0,1940.0,19
134192,320000,3,8,2021,0,1.0,1.0,584.0,27390.125019392875,1988.0,19
134193,400000,10,5,2020,0,2.0,1.0,777.0,27390.125019392875,1990.0,19
134195,879000,4,12,2022,3,3.0,3.5,1780.0,1800.0,2002.0,19
134196,829500,3,9,2021,3,3.0,2.0,1570.0,1156.0,2014.0,19
134197,508000,2,18,2022,0,2.0,2.0,990.0,13900.0,1976.0,19
134198,425000,3,4,2022,0,2.0,1.0,984.0,27390.125019392875,1968.0,19
134199,1525000,7,14,2021,1,4.0,3.0,2394.0,6000.0,2001.0,19
134200,1470000,4,13,2022,3,3.0,2.5,1900.0,2918.0,2019.0,19
134201,600000,4,12,2022,0,2.0,2.0,949.0,27390.125019392875,1991.0,19
134202,3500000,3,15,2022,1,3.0,2.0,2310.0,16554.0,1978.0,19
134203,2235000,3,7,2022,1,4.0,4.0,3550.0,5800.0,1989.0,19
134204,925000,11,1,2021,1,2.0,1.0,1110.0,6400.0,1941.0,19
134205,1025000,8,16,2021,0,2.0,2.0,1526.0,27390.125019392875,1982.0,19
134206,1630000,2,9,2022,1,3.0,3.0,2520.0,6000.0,1928.0,19
134207,339900,12,23,2021,0,1.0,1.0,658.0,27390.125019392875,1968.0,19
134208,305000,12,10,2021,0,1.0,1.0,583.0,27390.125019392875,1988.0,19
134209,2150000,6,14,2021,1,5.0,3.0,3952.0,7680.0,1926.0,19
134210,2525000,9,10,2021,1,4.0,3.0,2560.0,14416.0,1939.0,19
134211,275000,9,29,2021,0,1.0,1.0,633.0,5000.0,1968.0,19
134212,1375500,9,30,2021,1,3.0,2.0,2960.0,6000.0,1951.0,19
134213,1895000,6,12,2020,1,4.0,3.5,3340.0,5750.0,1986.0,19
134214,519990,8,24,2020,0,2.0,2.0,1031.0,13612.0,1968.0,19
134215,1550000,5,26,2021,1,3.0,2.0,2720.0,5940.0,1940.0,19
134216,1050000,4,27,2021,1,3.0,2.0,1800.0,5400.0,1944.0,19
134217,780000,9,30,2021,1,2.0,2.0,1000.0,4800.0,1944.0,19
134218,395000,3,23,2020,0,1.0,1.0,605.0,27390.125019392875,1988.0,19
134219,3250000,7,16,2021,1,7.0,4.5,5830.0,9620.0,1940.0,19
134220,1249888,10,4,2021,1,5.0,3.0,3070.0,13492.0,1945.0,19
134221,1540000,7,16,2021,1,3.0,2.0,2440.0,6638.0,1947.0,19
134222,699950,9,30,2021,3,2.0,2.0,1201.0,949.0,2021.0,19
134223,690000,3,24,2021,3,2.0,2.5,1434.0,27390.125019392875,1987.0,19
134224,972500,9,27,2021,3,4.0,3.0,1818.0,1552.0,2021.0,19
134225,2025000,11,4,2021,1,3.0,3.5,2980.0,4873.0,1937.0,19
134226,360000,3,15,2018,0,1.0,1.0,820.0,27390.125019392875,1974.0,19
134227,390000,5,21,2018,0,2.0,1.0,949.0,27390.125019392875,1977.0,19
134228,380000,1,31,2019,0,1.0,1.0,794.0,13300.0,1977.0,19
134229,889000,10,11,2018,1,3.0,2.0,2294.0,6000.0,1951.0,19
134230,430000,6,22,2018,0,1.0,1.0,712.0,22700.0,1969.0,19
134231,575000,12,13,2021,3,1.0,1.0,1006.0,564.0,2021.0,19
134232,1050000,4,15,2022,3,2.0,2.0,1630.0,1039.0,2016.0,19
134233,1300000,12,8,2020,1,3.0,2.5,2540.0,4224.0,2000.0,19
134235,1305714,11,2,2021,1,3.0,2.0,3010.0,6250.0,1929.0,19
